date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:15:04	16929/16929	---MCZ	200	added ('OK')	text/html	etag:W/%224221-56ff5fd37733a%22	https://engaging-data.com/pages/scripts/markettiming/markettiming.html	C:/My%20Web%20Sites/IndexSimulation2/engaging-data.com/pages/scripts/markettiming/markettiming.html	(from )
15:15:05	67/67	---MC-	200	added ('OK')	text/plain	date:Mon,%2018%20Jan%202021%2020:15:06%20GMT	https://engaging-data.com/robots.txt		(from )
15:15:05	3893/3893	---M--	200	added ('OK')	application/javascript	etag:%22f35-56c7557402679%22	https://engaging-data.com/pages/scripts/csv.js	C:/My%20Web%20Sites/IndexSimulation2/engaging-data.com/pages/scripts/csv.js	(from https://engaging-data.com/pages/scripts/markettiming/markettiming.html)
15:15:05	17082/17082	---M--	200	added ('OK')	application/javascript	etag:%2242ba-56c74d6356e88%22	https://engaging-data.com/pages/scripts/papaparse.min.js	C:/My%20Web%20Sites/IndexSimulation2/engaging-data.com/pages/scripts/papaparse.min.js	(from https://engaging-data.com/pages/scripts/markettiming/markettiming.html)
15:15:05	4966/4966	---M--	200	added ('OK')	application/javascript	etag:%221366-5b82cec60760b%22	https://engaging-data.com/pages/scripts/arrayfunctions.js	C:/My%20Web%20Sites/IndexSimulation2/engaging-data.com/pages/scripts/arrayfunctions.js	(from https://engaging-data.com/pages/scripts/markettiming/markettiming.html)
15:15:06	3478132/3478132	---M-Z	200	added ('OK')	application/javascript	etag:%22059f6ecfa3930aa0b85b6ef4591390e4%22	https://cdn.plot.ly/plotly-latest.min.js	C:/My%20Web%20Sites/IndexSimulation2/cdn.plot.ly/plotly-latest.min.js	(from https://engaging-data.com/pages/scripts/markettiming/markettiming.html)
15:15:06	86659/86659	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	C:/My%20Web%20Sites/IndexSimulation2/ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	(from https://engaging-data.com/pages/scripts/markettiming/markettiming.html)
15:15:06	64298/64298	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03d8e-fb2a%22	https://cdnjs.cloudflare.com/ajax/libs/bootstrap-slider/10.0.0/bootstrap-slider.js	C:/My%20Web%20Sites/IndexSimulation2/cdnjs.cloudflare.com/ajax/libs/bootstrap-slider/10.0.0/bootstrap-slider.js	(from https://engaging-data.com/pages/scripts/markettiming/markettiming.html)
15:15:07	10260/10260	---M-Z	200	added ('OK')	text/css	etag:%225eb03d8e-2814%22	https://cdnjs.cloudflare.com/ajax/libs/bootstrap-slider/10.0.0/css/bootstrap-slider.css	C:/My%20Web%20Sites/IndexSimulation2/cdnjs.cloudflare.com/ajax/libs/bootstrap-slider/10.0.0/css/bootstrap-slider.css	(from https://engaging-data.com/pages/scripts/markettiming/markettiming.html)
15:15:07	362884/362884	---M--	200	added ('OK')	text/csv	etag:%2258984-5b8fd5ca8fbbc%22	https://engaging-data.com/pages/scripts/markettiming/sp500game.csv	C:/My%20Web%20Sites/IndexSimulation2/engaging-data.com/pages/scripts/markettiming/sp500game.csv	(from https://engaging-data.com/pages/scripts/markettiming/markettiming.html)
15:15:08	37045/37045	---M-Z	200	added ('OK')	text/javascript	etag:%221544639631%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	C:/My%20Web%20Sites/IndexSimulation2/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	(from https://engaging-data.com/pages/scripts/markettiming/markettiming.html)
